Timestamps are UTC timezone,https://www.CryptoDataDownload.com
date,symbol,open,high,low,close,volume_btc,volume
2018-10-02 11-AM,BTCUSD,6551.15,6555.45,6537.6,6539.26,96.78,633414.95
2018-10-02 10-AM,BTCUSD,6540.01,6558.92,6525,6551.15,162.2,1061566.09
2018-10-02 09-AM,BTCUSD,6561,6562.26,6540,6540.01,93.17,610314.89
2018-10-02 08-AM,BTCUSD,6557.74,6568.84,6557.73,6561,47.7,313080.82
2018-10-02 07-AM,BTCUSD,6559.31,6560.63,6550,6557.74,115.96,760216.31
2018-10-02 06-AM,BTCUSD,6580.01,6580.01,6559.3,6559.31,112.63,739721.26
2018-10-02 05-AM,BTCUSD,6575.01,6583.82,6570,6580.01,179.72,1182129.81
2018-10-02 04-AM,BTCUSD,6566.7,6582.22,6566.7,6575.01,111.28,731607.05
2018-10-02 03-AM,BTCUSD,6569.99,6578.46,6566.7,6566.7,144.62,950448.09
2018-10-02 02-AM,BTCUSD,6574.99,6577.86,6566,6569.99,163.16,1072173.25
2018-10-02 01-AM,BTCUSD,6556.9,6591.37,6551.42,6574.99,197.64,1297718.6
2018-10-02 12-AM,BTCUSD,6572.83,6576.18,6553.37,6556.9,171.23,1123929.98
2018-10-01 11-PM,BTCUSD,6562.5,6575.93,6550.42,6572.83,241.28,1583611.59
2018-10-01 10-PM,BTCUSD,6573.01,6574.98,6560,6562.5,202.59,1330299.24
2018-10-01 09-PM,BTCUSD,6551.6,6610,6547.77,6573.01,482.64,3173578.26
2018-10-01 08-PM,BTCUSD,6556.51,6560.31,6543.5,6551.6,246.94,1618616.94
2018-10-01 07-PM,BTCUSD,6562,6566.29,6535,6556.51,263.4,1725441.28
2018-10-01 06-PM,BTCUSD,6563.57,6578.93,6550.32,6562,693.26,4551971.3
2018-10-01 05-PM,BTCUSD,6558.77,6564.49,6547.62,6563.57,419.87,2753476.18
2018-10-01 04-PM,BTCUSD,6542.99,6570,6519.49,6558.77,386.45,2527381.89
2018-10-01 03-PM,BTCUSD,6540.61,6545,6527.39,6542.99,286.69,1874692.55
2018-10-01 02-PM,BTCUSD,6543.51,6546.79,6479.03,6540.61,774.56,5046606.49
2018-10-01 01-PM,BTCUSD,6585.15,6595.38,6539.01,6543.51,294.37,1932994.28
2018-10-01 12-PM,BTCUSD,6570.98,6590,6551,6585.15,325.53,2138299.49
2018-10-01 11-AM,BTCUSD,6569.64,6582.92,6549.66,6570.98,602.55,3952088.03
2018-10-01 10-AM,BTCUSD,6591.86,6598.68,6569.64,6569.64,128.99,849529.03
2018-10-01 09-AM,BTCUSD,6602.8,6602.8,6591.85,6591.86,48.15,317676.05
2018-10-01 08-AM,BTCUSD,6586.01,6602.8,6580.53,6602.8,142.75,940551.29
2018-10-01 07-AM,BTCUSD,6605.78,6606,6586,6586.01,87.69,578603.37
2018-10-01 06-AM,BTCUSD,6600.37,6608.38,6586,6605.78,213.98,1412282.7
2018-10-01 05-AM,BTCUSD,6607.01,6608.02,6591.87,6600.37,110.58,729944.72
2018-10-01 04-AM,BTCUSD,6621.28,6632.99,6601,6607.01,209.17,1385194.41
2018-10-01 03-AM,BTCUSD,6614.18,6629.99,6614.17,6621.28,172.05,1139416.11
2018-10-01 02-AM,BTCUSD,6615.92,6623.99,6612.49,6614.18,133.3,882175.3
2018-10-01 01-AM,BTCUSD,6624.96,6639.33,6608.37,6615.92,167.9,1112171.34
2018-10-01 12-AM,BTCUSD,6605,6626,6604.99,6624.96,235.27,1557230.44
2018-09-30 11-PM,BTCUSD,6612.05,6621,6594.81,6605,175.56,1160329.32
2018-09-30 10-PM,BTCUSD,6559.79,6616.83,6557,6612.05,289.89,1909871.53
2018-09-30 09-PM,BTCUSD,6561.29,6570.33,6549,6559.79,143.47,940927.42
2018-09-30 08-PM,BTCUSD,6588.01,6588.01,6523,6561.29,359.81,2357373.94
2018-09-30 07-PM,BTCUSD,6598.24,6604,6581.71,6588.01,145.4,958775.94
2018-09-30 06-PM,BTCUSD,6601.02,6609.91,6596.16,6598.24,129.4,854367.2
2018-09-30 05-PM,BTCUSD,6604,6607.96,6589.98,6601.02,150.16,991027.4
2018-09-30 04-PM,BTCUSD,6590,6609.4,6580,6604,172.66,1139152.85
2018-09-30 03-PM,BTCUSD,6627.51,6627.64,6580,6590,262.72,1735761.7
2018-09-30 02-PM,BTCUSD,6617.01,6640.26,6611,6627.51,140.6,931019.26
2018-09-30 01-PM,BTCUSD,6613.97,6622.99,6608.22,6617.01,142.97,945443.53
2018-09-30 12-PM,BTCUSD,6611.7,6616.91,6601.96,6613.97,115.87,765959.23
2018-09-30 11-AM,BTCUSD,6624.25,6640.37,6603.88,6611.7,141.73,938775.88
2018-09-30 10-AM,BTCUSD,6570.48,6632.28,6567.98,6624.25,253.86,1677734.38
2018-09-30 09-AM,BTCUSD,6566.13,6579.09,6560.53,6570.48,93.02,611189.03
2018-09-30 08-AM,BTCUSD,6568.21,6569.84,6561.75,6566.13,86.39,567277.21
2018-09-30 07-AM,BTCUSD,6568.9,6575,6552.66,6568.21,109.5,719039.29
2018-09-30 06-AM,BTCUSD,6552.51,6568.91,6552.51,6568.9,32.83,215416.93
2018-09-30 05-AM,BTCUSD,6546.95,6555,6543.21,6552.51,91.4,598354.19
2018-09-30 04-AM,BTCUSD,6561.06,6563.01,6545,6546.95,79.51,521092.75
2018-09-30 03-AM,BTCUSD,6557.74,6569.43,6556.97,6561.06,99.49,652864.16
2018-09-30 02-AM,BTCUSD,6579.01,6581,6552.71,6557.74,169.87,1115722.94
2018-09-30 01-AM,BTCUSD,6559,6587,6558.99,6579.01,100.88,663433.37
2018-09-30 12-AM,BTCUSD,6582,6582,6545.81,6559,117.19,768573.58
2018-09-29 11-PM,BTCUSD,6581.62,6608.19,6570.39,6582,213.29,1405168.72
2018-09-29 10-PM,BTCUSD,6570,6589.99,6569.99,6581.62,120.96,795799.91
2018-09-29 09-PM,BTCUSD,6577,6578.33,6568,6570,133.2,875615.05
2018-09-29 08-PM,BTCUSD,6569.01,6590,6569,6577,190.49,1253288.15
2018-09-29 07-PM,BTCUSD,6564.16,6576,6563.12,6569.01,149.38,981238.99
2018-09-29 06-PM,BTCUSD,6572.76,6576,6560.2,6564.16,102.22,671521.76
2018-09-29 05-PM,BTCUSD,6540,6574.07,6540,6572.76,295.95,1939895.9
2018-09-29 04-PM,BTCUSD,6566.93,6570,6537.51,6540,127.0,833226.5
2018-09-29 03-PM,BTCUSD,6532.5,6579.06,6532.49,6566.93,207.65,1362610.71
2018-09-29 02-PM,BTCUSD,6546.27,6550.87,6515.28,6532.5,141.64,925292.71
2018-09-29 01-PM,BTCUSD,6564.99,6572.38,6541,6546.27,150.99,990149.14
2018-09-29 12-PM,BTCUSD,6570.01,6582.1,6560,6564.99,104.98,689491.05
2018-09-29 11-AM,BTCUSD,6536.66,6594.44,6534,6570.01,136.37,895840.21
2018-09-29 10-AM,BTCUSD,6528.56,6547.87,6527,6536.66,46.84,306352.95
2018-09-29 09-AM,BTCUSD,6512.43,6558.62,6512.42,6528.56,133.42,872419.83
2018-09-29 08-AM,BTCUSD,6515.3,6532.31,6510.9,6512.43,137.98,899753.97
2018-09-29 07-AM,BTCUSD,6497.5,6519,6493.14,6515.3,70.29,457163.58
2018-09-29 06-AM,BTCUSD,6488.8,6497.5,6460.79,6497.5,203.95,1322328.66
2018-09-29 05-AM,BTCUSD,6492.13,6495,6481.03,6488.8,97.04,629656.8
2018-09-29 04-AM,BTCUSD,6486.66,6496.63,6470.01,6492.13,89.69,581764.94
2018-09-29 03-AM,BTCUSD,6499.01,6504.78,6480.99,6486.66,110.19,715297.55
2018-09-29 02-AM,BTCUSD,6463.63,6520,6460.84,6499.01,267.89,1739982.8
2018-09-29 01-AM,BTCUSD,6609.98,6609.98,6452.02,6463.63,765.91,4987495.16
2018-09-29 12-AM,BTCUSD,6620.01,6620.01,6584.17,6609.98,167.55,1105635.27
2018-09-28 11-PM,BTCUSD,6620.98,6634,6617,6620.01,143.81,952806.95
2018-09-28 10-PM,BTCUSD,6630.35,6641.66,6617,6620.98,185.74,1231620.12
2018-09-28 09-PM,BTCUSD,6644,6645,6615.64,6630.35,293.9,1948952.4
2018-09-28 08-PM,BTCUSD,6675.09,6675.1,6615.83,6644,446.99,2971981.25
2018-09-28 07-PM,BTCUSD,6636.99,6690.27,6528.13,6675.09,1729.05,11434336.22
2018-09-28 06-PM,BTCUSD,6642.54,6648.49,6629.85,6636.99,236.18,1568306.61
2018-09-28 05-PM,BTCUSD,6643,6661.98,6642,6642.54,248.84,1654619.88
2018-09-28 04-PM,BTCUSD,6654.94,6657.04,6630,6643,224.53,1490841.08
2018-09-28 03-PM,BTCUSD,6649.08,6669.48,6627.01,6654.94,248.26,1651135.46
2018-09-28 02-PM,BTCUSD,6635.82,6671.92,6621.3,6649.08,383.98,2553619.88
2018-09-28 01-PM,BTCUSD,6585.19,6645.34,6565.01,6635.82,359.9,2380193.64
2018-09-28 12-PM,BTCUSD,6644.87,6649.65,6575.46,6585.19,434.6,2872672.22
2018-09-28 11-AM,BTCUSD,6637.01,6655,6630,6644.87,251.4,1670740.62
2018-09-28 10-AM,BTCUSD,6643.52,6653.93,6620.15,6637.01,146.09,969547.32
2018-09-28 09-AM,BTCUSD,6719,6720.47,6570.36,6643.52,817.34,5422036.48
2018-09-28 08-AM,BTCUSD,6762.77,6766.4,6717.65,6719,271.73,1829163.32
2018-09-28 07-AM,BTCUSD,6724.1,6786.73,6724.09,6762.77,346.49,2343518.06
2018-09-28 06-AM,BTCUSD,6703.99,6767.52,6703.99,6724.1,329.46,2219112.51
2018-09-28 05-AM,BTCUSD,6700.01,6709.96,6693,6703.99,155.56,1042188.72
2018-09-28 04-AM,BTCUSD,6693.24,6710,6679.34,6700.01,235.07,1573704.27
2018-09-28 03-AM,BTCUSD,6697.2,6697.21,6681.01,6693.24,311.6,2083854.24
2018-09-28 02-AM,BTCUSD,6710.11,6724.42,6694.44,6697.2,377.13,2528075.43
2018-09-28 01-AM,BTCUSD,6696.12,6713.17,6690,6710.11,211.68,1418239.81
2018-09-28 12-AM,BTCUSD,6680.01,6704,6680,6696.12,241.59,1618365.4
2018-09-27 11-PM,BTCUSD,6671.51,6686,6667.52,6680.01,248.53,1659551.92
2018-09-27 10-PM,BTCUSD,6715,6715,6667.36,6671.51,459.5,3076283.8
2018-09-27 09-PM,BTCUSD,6695,6718.66,6693.76,6715,375.91,2519528.58
2018-09-27 08-PM,BTCUSD,6662.83,6734.78,6662,6695,975.7,6536959.87
2018-09-27 07-PM,BTCUSD,6509.99,6671.6,6501.3,6662.83,1206.33,7958260.68
2018-09-27 06-PM,BTCUSD,6500.01,6513,6497.94,6509.99,307.39,2000114.57
2018-09-27 05-PM,BTCUSD,6495.32,6504,6487.21,6500.01,322.28,2093761.21
2018-09-27 04-PM,BTCUSD,6487.01,6504.7,6487,6495.32,222.81,1447319.26
2018-09-27 03-PM,BTCUSD,6506.5,6506.51,6476.14,6487.01,283.65,1843133.69
2018-09-27 02-PM,BTCUSD,6497.27,6512.29,6485.89,6506.5,266.32,1731082.39
2018-09-27 01-PM,BTCUSD,6497.27,6516.28,6495.27,6497.27,365.33,2377234.88
2018-09-27 12-PM,BTCUSD,6478.01,6519,6475.12,6497.27,244.51,1589154.58
2018-09-27 11-AM,BTCUSD,6460.92,6487,6457,6478.01,147.32,953871.39
2018-09-27 10-AM,BTCUSD,6456.87,6468.91,6453.63,6460.92,83.59,540321.58
2018-09-27 09-AM,BTCUSD,6455,6468.51,6450,6456.87,227.73,1470583.79
2018-09-27 08-AM,BTCUSD,6451.59,6455,6430,6455,195.57,1259722.63
2018-09-27 07-AM,BTCUSD,6465,6468.28,6446,6451.59,299.98,1936462.04
2018-09-27 06-AM,BTCUSD,6460.01,6465,6442,6465,178.17,1150688.08
2018-09-27 05-AM,BTCUSD,6472,6477.49,6460,6460.01,158.72,1026723.48
2018-09-27 04-AM,BTCUSD,6493.99,6497.62,6468.63,6472,160.26,1038619.07
2018-09-27 03-AM,BTCUSD,6491,6497.62,6480.01,6493.99,139.71,906918.18
2018-09-27 02-AM,BTCUSD,6482.13,6493.79,6473.63,6491,147.32,955333.53
2018-09-27 01-AM,BTCUSD,6491,6510,6482.12,6482.13,396.52,2576102.57
2018-09-27 12-AM,BTCUSD,6455.66,6492.5,6455.65,6491,216.27,1402168.33
2018-09-26 11-PM,BTCUSD,6459.38,6478,6453.71,6455.66,171.73,1110287.86
2018-09-26 10-PM,BTCUSD,6471.77,6471.77,6425.15,6459.38,370.39,2388731.97
2018-09-26 09-PM,BTCUSD,6497,6499,6454.55,6471.77,250.97,1627172.46
2018-09-26 08-PM,BTCUSD,6495.72,6497,6485.21,6497,244.69,1588483.76
2018-09-26 07-PM,BTCUSD,6511.46,6511.46,6485,6495.72,275.87,1791989.79
2018-09-26 06-PM,BTCUSD,6527.43,6530,6503.74,6511.46,389.27,2538101.49
2018-09-26 05-PM,BTCUSD,6520.99,6529.99,6515.01,6527.43,246.58,1608634.88
2018-09-26 04-PM,BTCUSD,6530.01,6535,6515,6520.99,314.75,2053209.53
2018-09-26 03-PM,BTCUSD,6512,6537.26,6498.09,6530.01,474.72,3095271.25
2018-09-26 02-PM,BTCUSD,6483.21,6523.5,6483.21,6512,321.56,2088945.29
2018-09-26 01-PM,BTCUSD,6499.46,6508,6461,6483.21,307.9,1997576.63
2018-09-26 12-PM,BTCUSD,6519.99,6526.09,6499.46,6499.46,297.92,1940982.71
2018-09-26 11-AM,BTCUSD,6458.44,6525.31,6458.43,6519.99,413.83,2687800.18
2018-09-26 10-AM,BTCUSD,6449.99,6465,6449.99,6458.44,148.35,957963.15
2018-09-26 09-AM,BTCUSD,6445.34,6451.2,6427.48,6449.99,78.53,505751.59
2018-09-26 08-AM,BTCUSD,6443.25,6449.76,6430.88,6445.34,97.46,627897.58
2018-09-26 07-AM,BTCUSD,6430.8,6458.24,6430.8,6443.25,130.39,840362.25
2018-09-26 06-AM,BTCUSD,6434.38,6445,6420.72,6430.8,84.88,546005.84
2018-09-26 05-AM,BTCUSD,6395,6449,6394.99,6434.38,303.4,1950999.42
2018-09-26 04-AM,BTCUSD,6387.01,6395,6380.62,6395,133.37,852226.15
2018-09-26 03-AM,BTCUSD,6398.01,6401.99,6387,6387.01,158.27,1012034.86
2018-09-26 02-AM,BTCUSD,6394.53,6403.19,6390.32,6398.01,156.88,1003843.68
2018-09-26 01-AM,BTCUSD,6401,6405,6382,6394.53,196.5,1256560.09
2018-09-26 12-AM,BTCUSD,6436.89,6436.89,6397.46,6401,199.45,1279541.02
2018-09-25 11-PM,BTCUSD,6390.54,6439.86,6390,6436.89,302.63,1940706.83
2018-09-25 10-PM,BTCUSD,6388,6408,6375.05,6390.54,275.08,1758490.21
2018-09-25 09-PM,BTCUSD,6388.29,6397.49,6360.11,6388,296.94,1893911.08
2018-09-25 08-PM,BTCUSD,6363.87,6413.4,6360.17,6388.29,468.2,2992476.73
2018-09-25 07-PM,BTCUSD,6355.01,6375,6346.26,6363.87,349.02,2219887.79
2018-09-25 06-PM,BTCUSD,6390.99,6394.63,6320.5,6355.01,764.54,4862083.01
2018-09-25 05-PM,BTCUSD,6392.79,6398.38,6361.16,6390.99,377.35,2410807.71
2018-09-25 04-PM,BTCUSD,6402.44,6415,6389.9,6392.79,300.62,1925722.04
2018-09-25 03-PM,BTCUSD,6420,6420,6356.56,6402.44,953.55,6097860.82
2018-09-25 02-PM,BTCUSD,6412.95,6427.5,6389.41,6420,359.52,2304956.53
2018-09-25 01-PM,BTCUSD,6437.86,6437.87,6411.08,6412.95,269.13,1728976.17
2018-09-25 12-PM,BTCUSD,6392,6442.55,6383,6437.86,316.75,2029798.85
2018-09-25 11-AM,BTCUSD,6402.99,6403,6369,6392,161.65,1032493.3
2018-09-25 10-AM,BTCUSD,6409.99,6412.5,6390.16,6402.99,118.52,758497.11
2018-09-25 09-AM,BTCUSD,6404.59,6415.47,6388.78,6409.99,134.43,860798.16
2018-09-25 08-AM,BTCUSD,6376.65,6409.08,6366.68,6404.59,112.79,720963.67
2018-09-25 07-AM,BTCUSD,6420.57,6435.94,6366.68,6376.65,332.84,2128330.59
2018-09-25 06-AM,BTCUSD,6457.8,6464.27,6415,6420.57,153.84,990272.28
2018-09-25 05-AM,BTCUSD,6456.51,6464,6450,6457.8,101.87,657860.55
2018-09-25 04-AM,BTCUSD,6460,6474.98,6455.18,6456.51,148.9,962736.05
2018-09-25 03-AM,BTCUSD,6420,6480,6419.71,6460,461.88,2981585.6
2018-09-25 02-AM,BTCUSD,6429.29,6429.29,6388.88,6420,530.67,3403023.95
2018-09-25 01-AM,BTCUSD,6510.06,6513.35,6416.49,6429.29,1131.77,7301807.22
2018-09-25 12-AM,BTCUSD,6582.09,6582.1,6501,6510.06,496.05,3236522.58
2018-09-24 11-PM,BTCUSD,6595.12,6595.12,6555.99,6582.09,418.69,2751569.37
2018-09-24 10-PM,BTCUSD,6616,6616.01,6584,6595.12,223.81,1477521.66
2018-09-24 09-PM,BTCUSD,6625,6630,6605,6616,252.36,1670515.5
2018-09-24 08-PM,BTCUSD,6618.72,6631.33,6612.03,6625,248.27,1644288.77
2018-09-24 07-PM,BTCUSD,6635.83,6637.27,6618.72,6618.72,220.5,1462185.72
2018-09-24 06-PM,BTCUSD,6639.61,6655,6634.36,6635.83,373.35,2480818.53
2018-09-24 05-PM,BTCUSD,6606.05,6642.4,6606.05,6639.61,289.87,1920549.06
2018-09-24 04-PM,BTCUSD,6602.28,6612.83,6598,6606.05,231.97,1532335.99
2018-09-24 03-PM,BTCUSD,6606.97,6612.62,6593.41,6602.28,208.08,1374365.65
2018-09-24 02-PM,BTCUSD,6616.37,6621.1,6591.17,6606.97,234.88,1551612.08
2018-09-24 01-PM,BTCUSD,6623.99,6623.99,6600.08,6616.37,158.75,1049447.4
2018-09-24 12-PM,BTCUSD,6577.52,6632,6577.52,6623.99,245.48,1621052.76
2018-09-24 11-AM,BTCUSD,6609.99,6610.99,6571.06,6577.52,249.83,1646652.16
2018-09-24 10-AM,BTCUSD,6600.85,6615,6596.75,6609.99,148.34,979797.11
2018-09-24 09-AM,BTCUSD,6632.36,6633.71,6565.22,6600.85,438.92,2898520.09
2018-09-24 08-AM,BTCUSD,6668.99,6668.99,6630,6632.36,96.36,640548.38
2018-09-24 07-AM,BTCUSD,6649.01,6679.02,6639,6668.99,178.37,1188109.82
2018-09-24 06-AM,BTCUSD,6689.99,6689.99,6606.25,6649.01,312.84,2078451.48
2018-09-24 05-AM,BTCUSD,6696.61,6696.78,6675,6689.99,132.41,885400.25
2018-09-24 04-AM,BTCUSD,6706,6707.99,6685,6696.61,110.01,736647.55
2018-09-24 03-AM,BTCUSD,6704.99,6709.99,6701,6706,140.02,939033.17
2018-09-24 02-AM,BTCUSD,6709.05,6712.01,6701.01,6704.99,97.51,653985.43
2018-09-24 01-AM,BTCUSD,6691.54,6716.16,6691.54,6709.05,110.14,738336.3
2018-09-24 12-AM,BTCUSD,6696.99,6696.99,6684.78,6691.54,125.07,836954.3
2018-09-23 11-PM,BTCUSD,6704.39,6712,6696.22,6696.99,189.75,1271683.78
2018-09-23 10-PM,BTCUSD,6680,6712,6672.5,6704.39,294.78,1973593.05
2018-09-23 09-PM,BTCUSD,6671.51,6684.95,6670.7,6680,107.97,720667.62
2018-09-23 08-PM,BTCUSD,6686.11,6692.03,6671,6671.51,215.69,1441468.63
2018-09-23 07-PM,BTCUSD,6696.99,6697,6676.9,6686.11,238.13,1592668.43
2018-09-23 06-PM,BTCUSD,6682.93,6696.99,6670.01,6696.99,104.91,701381.08
2018-09-23 05-PM,BTCUSD,6690.08,6696.59,6679.1,6682.93,124.44,832298.42
2018-09-23 04-PM,BTCUSD,6683.51,6699.05,6660.05,6690.08,157.12,1048932.01
2018-09-23 03-PM,BTCUSD,6687.99,6698,6664.45,6683.51,187.56,1253381.98
2018-09-23 02-PM,BTCUSD,6729.32,6738.52,6663.01,6687.99,330.8,2216634.72
2018-09-23 01-PM,BTCUSD,6726,6732.13,6718,6729.32,91.12,612686.97
2018-09-23 12-PM,BTCUSD,6737.38,6741.92,6715.71,6726,84.91,571227.11
2018-09-23 11-AM,BTCUSD,6749.01,6756,6735.29,6737.38,98.81,666745.95
2018-09-23 10-AM,BTCUSD,6756.99,6757,6740,6749.01,50.68,341898.64
2018-09-23 09-AM,BTCUSD,6722.17,6777,6722,6756.99,198.44,1338758.55
2018-09-23 08-AM,BTCUSD,6704.01,6726.18,6704.01,6722.17,56.32,378334.45
2018-09-23 07-AM,BTCUSD,6694.08,6717.48,6693.01,6704.01,45.96,308339.37
2018-09-23 06-AM,BTCUSD,6711.01,6715.86,6694.08,6694.08,117.87,790701.62
2018-09-23 05-AM,BTCUSD,6720.54,6720.55,6711,6711.01,107.86,724441.34
2018-09-23 04-AM,BTCUSD,6700.17,6725,6700.16,6720.54,121.87,818587.46
2018-09-23 03-AM,BTCUSD,6691,6700.21,6690.9,6700.17,95.11,636994.26
2018-09-23 02-AM,BTCUSD,6686,6699.99,6683.8,6691,107.28,718010.34
2018-09-23 01-AM,BTCUSD,6700.2,6700.2,6679.95,6686,169.33,1133373.94
2018-09-23 12-AM,BTCUSD,6707.33,6711,6696.2,6700.2,106.53,714173.16
2018-09-22 11-PM,BTCUSD,6702.12,6717.4,6685.74,6707.33,147.03,984904.79
2018-09-22 10-PM,BTCUSD,6689.97,6704.78,6673.91,6702.12,176.33,1180163.25
2018-09-22 09-PM,BTCUSD,6712.59,6713.01,6683.63,6689.97,184.85,1237826.31
2018-09-22 08-PM,BTCUSD,6717,6719.99,6708,6712.59,110.0,738833.23
2018-09-22 07-PM,BTCUSD,6730.45,6734.72,6710,6717,140.96,947325.5
2018-09-22 06-PM,BTCUSD,6678.41,6745.97,6640.2,6730.45,510.67,3423785.58
2018-09-22 05-PM,BTCUSD,6662,6681,6661,6678.41,140.87,939924.88
2018-09-22 04-PM,BTCUSD,6678.01,6680.5,6660.01,6662,164.75,1098979.09
2018-09-22 03-PM,BTCUSD,6664.01,6680,6651,6678.01,209.44,1395399.54
2018-09-22 02-PM,BTCUSD,6684.8,6685.37,6651.58,6664.01,200.39,1336464.5
2018-09-22 01-PM,BTCUSD,6677,6687,6663.01,6684.8,143.14,955657.22
2018-09-22 12-PM,BTCUSD,6655.08,6698,6655.08,6677,112.81,753590.74
2018-09-22 11-AM,BTCUSD,6685,6694.5,6655.08,6655.08,113.86,759902.71
2018-09-22 10-AM,BTCUSD,6683.99,6708.14,6682.01,6685,109.33,731838.41
2018-09-22 09-AM,BTCUSD,6646,6686,6638,6683.99,87.76,585329.66
2018-09-22 08-AM,BTCUSD,6718.01,6718.01,6628.01,6646,356.93,2378733.03
2018-09-22 07-AM,BTCUSD,6723,6723.77,6708.36,6718.01,57.57,386607.92
2018-09-22 06-AM,BTCUSD,6737,6737.01,6700.01,6723,148.21,995682.22
2018-09-22 05-AM,BTCUSD,6740,6742.55,6727.07,6737,115.31,776823.6
2018-09-22 04-AM,BTCUSD,6733.73,6754.49,6732.73,6740,141.67,955312.76
2018-09-22 03-AM,BTCUSD,6735,6749.54,6713.72,6733.73,223.44,1503972.96
2018-09-22 02-AM,BTCUSD,6751.83,6765,6734.99,6735,300.78,2031072.28
2018-09-22 01-AM,BTCUSD,6799.8,6800,6745.24,6751.83,396.34,2683554.19
2018-09-22 12-AM,BTCUSD,6750,6823,6749.99,6799.8,821.81,5581608.49
2018-09-21 11-PM,BTCUSD,6728.99,6750.4,6728,6750,255.75,1723613.6
2018-09-21 10-PM,BTCUSD,6718.89,6733.62,6712.82,6728.99,264.75,1779930.95
2018-09-21 09-PM,BTCUSD,6710,6749,6695,6718.89,387.33,2603205.87
2018-09-21 08-PM,BTCUSD,6753.61,6773.41,6710,6710,603.11,4070742.73
2018-09-21 07-PM,BTCUSD,6734,6777.1,6725.69,6753.61,676.4,4568351.42
2018-09-21 06-PM,BTCUSD,6697.65,6743.65,6690.01,6734,417.02,2800548.72
2018-09-21 05-PM,BTCUSD,6715.8,6715.8,6696,6697.65,390.78,2620348.64
2018-09-21 04-PM,BTCUSD,6683.41,6725,6680,6715.8,528.77,3549056.07
2018-09-21 03-PM,BTCUSD,6728,6728,6671.21,6683.41,834.04,5587305.36
2018-09-21 02-PM,BTCUSD,6730.01,6744.77,6699.98,6728,619.86,4170264.08
2018-09-21 01-PM,BTCUSD,6729.01,6774,6721,6730.01,647.59,4367865.93
2018-09-21 12-PM,BTCUSD,6739.34,6746.2,6710,6729.01,418.49,2815802.91
2018-09-21 11-AM,BTCUSD,6696.95,6765.41,6696.95,6739.34,451.09,3035219.53
2018-09-21 10-AM,BTCUSD,6709.76,6719.82,6688,6696.95,253.17,1696082.82
2018-09-21 09-AM,BTCUSD,6701,6719.23,6676.64,6709.76,275.19,1843572.72
2018-09-21 08-AM,BTCUSD,6643.02,6737.65,6643.01,6701,780.69,5233711.82
2018-09-21 07-AM,BTCUSD,6544.95,6660.05,6541.2,6643.02,818.4,5407725.37
2018-09-21 06-AM,BTCUSD,6531.01,6552.87,6531,6544.95,171.24,1120227.63
2018-09-21 05-AM,BTCUSD,6536.72,6540.07,6516.6,6531.01,165.06,1077801.39
2018-09-21 04-AM,BTCUSD,6544,6547.61,6525.93,6536.72,178.76,1168487.1
2018-09-21 03-AM,BTCUSD,6551.12,6560,6535.41,6544,270.16,1768961.36
2018-09-21 02-AM,BTCUSD,6498,6575,6492.5,6551.12,667.58,4361377.91
2018-09-21 01-AM,BTCUSD,6500,6504.64,6492.79,6498,262.29,1703893.3
2018-09-21 12-AM,BTCUSD,6493.11,6530,6493.11,6500,635.04,4134520.22
2018-09-20 11-PM,BTCUSD,6527.87,6530,6488.38,6493.11,477.9,3109633.06
2018-09-20 10-PM,BTCUSD,6501.16,6529.99,6470,6527.87,663.91,4310051.96
2018-09-20 09-PM,BTCUSD,6375,6519.99,6362,6501.16,778.95,5019054.53
2018-09-20 08-PM,BTCUSD,6419.03,6434,6337,6375,741.11,4733592.2
2018-09-20 07-PM,BTCUSD,6405,6431.29,6402.36,6419.03,350.08,2247902.08
2018-09-20 06-PM,BTCUSD,6395,6407.61,6388,6405,249.65,1598108.88
2018-09-20 05-PM,BTCUSD,6417.17,6419.96,6390,6395,441.86,2830600.89
2018-09-20 04-PM,BTCUSD,6411.82,6419.99,6408.13,6417.17,208.45,1337296.8
2018-09-20 03-PM,BTCUSD,6415.17,6420,6400,6411.82,305.26,1957160.43
2018-09-20 02-PM,BTCUSD,6421.01,6424.68,6412.99,6415.17,181.1,1162115.12
2018-09-20 01-PM,BTCUSD,6420,6424.12,6399.01,6421.01,222.26,1424783.2
2018-09-20 12-PM,BTCUSD,6430.32,6445.55,6420,6420,218.92,1408072.87
2018-09-20 11-AM,BTCUSD,6406.83,6432,6403.35,6430.32,324.51,2082094.96
2018-09-20 10-AM,BTCUSD,6392.8,6406.83,6386,6406.83,99.3,634846.02
2018-09-20 09-AM,BTCUSD,6388,6395.57,6378.15,6392.8,66.5,424740.18
2018-09-20 08-AM,BTCUSD,6405.38,6405.38,6372.56,6388,207.05,1322543.99
2018-09-20 07-AM,BTCUSD,6396.01,6407.89,6394.69,6405.38,57.83,370149.42
2018-09-20 06-AM,BTCUSD,6390.8,6402.82,6386.62,6396.01,87.71,561039.75
2018-09-20 05-AM,BTCUSD,6387.93,6390.81,6381.01,6390.8,92.81,592994.47
2018-09-20 04-AM,BTCUSD,6395.29,6403,6385.6,6387.93,98.26,628530.6
2018-09-20 03-AM,BTCUSD,6385.01,6405.1,6381.91,6395.29,174.03,1112258.59
2018-09-20 02-AM,BTCUSD,6406,6406,6381.91,6385.01,118.84,759438.57
